Millas_Por_Galon,Cilindros,Pais_Origen,Peso_En_Libras,Desplazamiento,Aceleracion,Nombre,Anyo,Caballo_De_Fuerza,Variables_Cualitativas
26.8,6,USA,2700,173.0,12.9,oldsmobile omega brougham,1/01/1979,115.0,Medio
33.5,4,USA,2556,151.0,13.2,pontiac phoenix,1/01/1979,90.0,Medio
41.5,4,Europe,2144,98.0,14.7,vw rabbit,1/01/1980,76.0,Medio
38.1,4,Japan,1968,89.0,18.8,toyota corolla tercel,1/01/1980,60.0,Bajo
32.1,4,USA,2120,98.0,15.5,chevrolet chevette,1/01/1980,70.0,Medio
37.2,4,Japan,2019,86.0,16.4,datsun 310,1/01/1980,65.0,Bajo
28.0,4,USA,2678,151.0,16.5,chevrolet citation,1/01/1980,90.0,Medio
26.4,4,USA,2870,140.0,18.1,ford fairmont,1/01/1980,88.0,Medio
24.3,4,USA,3003,151.0,20.1,amc concord,1/01/1980,90.0,Medio
19.1,6,USA,3381,225.0,18.7,dodge aspen,1/01/1980,90.0,Medio
34.3,4,Europe,2188,97.0,15.8,audi 4000,1/01/1980,78.0,Medio
29.8,4,Japan,2711,134.0,15.5,toyota corona liftback,1/01/1980,90.0,Medio
31.3,4,Japan,2542,120.0,17.5,mazda 626,1/01/1980,75.0,Medio
37.0,4,Japan,2434,119.0,15.0,datsun 510 hatchback,1/01/1980,92.0,Medio
32.2,4,Japan,2265,108.0,15.2,toyota corolla,1/01/1980,75.0,Medio
46.6,4,Japan,2110,86.0,17.9,mazda glc,1/01/1980,65.0,Bajo
27.9,4,USA,2800,156.0,14.4,dodge colt,1/01/1980,105.0,Medio
40.8,4,Japan,2110,85.0,19.2,datsun 210,1/01/1980,65.0,Bajo
44.3,4,Europe,2085,90.0,21.7,vw rabbit c (diesel),1/01/1980,48.0,Bajo
43.4,4,Europe,2335,90.0,23.7,vw dasher (diesel),1/01/1980,48.0,Bajo
36.4,5,Europe,2950,121.0,19.9,audi 5000s (diesel),1/01/1980,67.0,Medio
30.0,4,Europe,3250,146.0,21.8,mercedes-benz 240d,1/01/1980,67.0,Medio
44.6,4,Japan,1850,91.0,13.8,honda civic 1500 gl,1/01/1980,67.0,Medio
40.9,4,Europe,1835,85.0,17.3,renault lecar deluxe,1/01/1980,105.08,Medio
33.8,4,Japan,2145,97.0,18.0,subaru dl,1/01/1980,67.0,Medio
29.8,4,Europe,1845,89.0,15.3,vokswagen rabbit,1/01/1980,62.0,Bajo
32.7,6,Japan,2910,168.0,11.4,datsun 280-zx,1/01/1980,132.0,Medio
23.7,3,Japan,2420,70.0,12.5,mazda rx-7 gs,1/01/1980,100.0,Medio
35.0,4,Europe,2500,122.0,15.1,triumph tr7 coupe,1/01/1980,88.0,Medio
23.6,4,USA,2905,140.0,14.3,ford mustang cobra,1/01/1980,105.08,Medio
32.4,4,Japan,2290,107.0,17.0,honda Accelerationord,1/01/1980,72.0,Medio
27.2,4,USA,2490,135.0,15.7,plymouth reliant,1/01/1982,84.0,Medio
26.6,4,USA,2635,151.0,16.4,buick skylark,1/01/1982,84.0,Medio
25.8,4,USA,2620,156.0,14.4,dodge aries wagon (sw),1/01/1982,92.0,Medio
23.5,6,USA,2725,173.0,12.6,chevrolet citation,1/01/1982,110.0,Medio
30.0,4,USA,2385,135.0,12.9,plymouth reliant,1/01/1982,84.0,Medio
39.1,4,Japan,1755,79.0,16.9,toyota starlet,1/01/1982,58.0,Bajo
39.0,4,USA,1875,86.0,16.4,plymouth champ,1/01/1982,64.0,Bajo
35.1,4,Japan,1760,81.0,16.1,honda civic 1300,1/01/1982,60.0,Bajo
32.3,4,Japan,2065,97.0,17.8,subaru,1/01/1982,67.0,Medio
37.0,4,Japan,1975,85.0,19.4,datsun 210,1/01/1982,65.0,Bajo
37.7,4,Japan,2050,89.0,17.3,toyota tercel,1/01/1982,62.0,Bajo
34.1,4,Japan,1985,91.0,16.0,mazda glc 4,1/01/1982,68.0,Medio
34.7,4,USA,2215,105.0,14.9,plymouth horizon 4,1/01/1982,63.0,Bajo
34.4,4,USA,2045,98.0,16.2,ford escort 4w,1/01/1982,65.0,Bajo
29.9,4,USA,2380,98.0,20.7,ford escort 2h,1/01/1982,65.0,Bajo
33.0,4,Europe,2190,105.0,14.2,volkswagen jetta,1/01/1982,74.0,Medio
34.5,4,Europe,2320,100.0,15.8,renault 18i,1/01/1982,105.08,Medio
33.7,4,Japan,2210,107.0,14.4,honda prelude,1/01/1982,75.0,Medio
32.4,4,Japan,2350,108.0,16.8,toyota corolla,1/01/1982,75.0,Medio
32.9,4,Japan,2615,119.0,14.8,datsun 200sx,1/01/1982,100.0,Medio
31.6,4,Japan,2635,120.0,18.3,mazda 626,1/01/1982,74.0,Medio
28.1,4,Europe,3230,141.0,20.4,peugeot 505s turbo diesel,1/01/1982,80.0,Medio
23.51,4,Europe,2800,121.0,15.4,saab 900s,1/01/1982,110.0,Medio
30.7,6,Europe,3160,145.0,19.6,volvo diesel,1/01/1982,76.0,Medio
25.4,6,Japan,2900,168.0,12.6,toyota cressida,1/01/1982,116.0,Medio
24.2,6,Japan,2930,146.0,13.8,datsun 810 maxima,1/01/1982,120.0,Medio
22.4,6,USA,3415,231.0,15.8,buick century,1/01/1982,110.0,Medio
26.6,8,USA,3725,350.0,19.0,oldsmobile cutlass ls,1/01/1982,105.0,Medio
20.2,6,USA,3060,200.0,17.1,ford granada gl,1/01/1982,88.0,Medio
17.6,6,USA,3465,225.0,16.6,chrysler lebaron salon,1/01/1982,85.0,Medio
28.0,4,USA,2605,112.0,19.6,chevrolet cavalier,1/01/1982,88.0,Medio
27.0,4,USA,2640,112.0,18.6,chevrolet cavalier wagon,1/01/1982,88.0,Medio
34.0,4,USA,2395,112.0,18.0,chevrolet cavalier 2-door,1/01/1982,88.0,Medio
31.0,4,USA,2575,112.0,16.2,pontiac j2000 se hatchback,1/01/1982,85.0,Medio
29.0,4,USA,2525,135.0,16.0,dodge aries se,1/01/1982,84.0,Medio
27.0,4,USA,2735,151.0,18.0,pontiac phoenix,1/01/1982,90.0,Medio
24.0,4,USA,2865,140.0,16.4,ford fairmont futura,1/01/1982,92.0,Medio
23.0,4,USA,3035,151.0,20.5,amc concord dl,1/01/1982,105.08,Medio
36.0,4,Europe,1980,105.0,15.3,volkswagen rabbit l,1/01/1982,74.0,Medio
37.0,4,Japan,2025,91.0,18.2,mazda glc custom l,1/01/1982,68.0,Medio
31.0,4,Japan,1970,91.0,17.6,mazda glc custom,1/01/1982,68.0,Medio
38.0,4,USA,2125,105.0,14.7,plymouth horizon miser,1/01/1982,63.0,Bajo
36.0,4,USA,2125,98.0,17.3,mercury lynx l,1/01/1982,70.0,Medio
36.0,4,Japan,2160,120.0,14.5,nissan stanza xe,1/01/1982,88.0,Medio
36.0,4,Japan,2205,107.0,14.5,honda Accelerationord,1/01/1982,75.0,Medio
34.0,4,Japan,2245,108.0,16.9,toyota corolla,1/01/1982,70.0,Medio
38.0,4,Japan,1965,91.0,15.0,honda civic,1/01/1982,67.0,Medio
32.0,4,Japan,1965,91.0,15.7,honda civic (auto),1/01/1982,67.0,Medio
38.0,4,Japan,1995,91.0,16.2,datsun 310 gx,1/01/1982,67.0,Medio
25.0,6,USA,2945,181.0,16.4,buick century limited,1/01/1982,110.0,Medio
38.0,6,USA,3015,262.0,17.0,oldsmobile cutlass ciera (diesel),1/01/1982,85.0,Medio
26.0,4,USA,2585,156.0,14.5,chrysler lebaron medallion,1/01/1982,92.0,Medio
22.0,6,USA,2835,232.0,14.7,ford granada l,1/01/1982,112.0,Medio
32.0,4,Japan,2665,144.0,13.9,toyota celica gt,1/01/1982,96.0,Medio
36.0,4,USA,2370,135.0,13.0,dodge charger 2.2,1/01/1982,84.0,Medio
27.0,4,USA,2950,151.0,17.3,chevrolet camaro,1/01/1982,90.0,Medio
27.0,4,USA,2790,140.0,15.6,ford mustang gl,1/01/1982,86.0,Medio
44.0,4,Europe,2130,97.0,24.6,vw pickup,1/01/1982,52.0,Bajo
32.0,4,USA,2295,135.0,11.6,dodge rampage,1/01/1982,84.0,Medio
28.0,4,USA,2625,120.0,18.6,ford ranger,1/01/1982,79.0,Medio
31.0,4,USA,2720,119.0,19.4,chevy s-10,1/01/1982,82.0,Medio
